pl_hostname,hd_name,hip_name,pl_pnum,pl_letter
HD 132406,HD 132406,HIP 73146,1,b
HD 132563,HD 132563,HIP 73261 A,1,b
HD 131664,HD 131664,HIP 73408,1,b
HD 134987,HD 134987,HIP 74500,2,c
HD 134987,HD 134987,HIP 74500,2,b
11 UMi,HD 136726,HIP 74793,1,b
HIP 74890,HD 135760,HIP 74890,1,b
HD 136418,HD 136418,HIP 74961,1,b
GJ 581,,HIP 74995,3,e
GJ 581,,HIP 74995,3,b
GJ 581,,HIP 74995,3,c
omi CrB,HD 136512,HIP 75049,1,b
ups And,HD 9826,HIP 7513,4,d
ups And,HD 9826,HIP 7513,4,e
ups And,HD 9826,HIP 7513,4,c
ups And,HD 9826,HIP 7513,4,b
HIP 75458,HD 137759,HIP 75458,1,b
WASP-18,HD 10069,HIP 7562,1,b
HD 10180,HD 10180,HIP 7599,6,d
HD 10180,HD 10180,HIP 7599,6,h
HD 10180,HD 10180,HIP 7599,6,e
HD 10180,HD 10180,HIP 7599,6,f
HD 10180,HD 10180,HIP 7599,6,g
HD 10180,HD 10180,HIP 7599,6,c
HD 139357,HD 139357,HIP 76311,1,b
HD 137388 A,HD 137388 A,HIP 76351,1,b
HD 141399,HD 141399,HIP 77301,4,c
HD 141399,HD 141399,HIP 77301,4,b
HD 141399,HD 141399,HIP 77301,4,d
HD 141399,HD 141399,HIP 77301,4,e
HD 330075,HD 330075,HIP 77517,1,b
ome Ser,HD 141680,HIP 77578,1,b
kap CrB,HD 142091,HIP 77655,1,b
HD 141937,HD 141937,HIP 77740,1,b
HD 142245,HD 142245,HIP 77783,1,b
HD 143105,HD 143105,HIP 77838,1,b
eps CrB,HD 143107,HIP 78159,1,b
HD 142415,HD 142415,HIP 78169,1,b
BD+15 2940,,HIP 78407,1,b
HD 143361,HD 143361,HIP 78521,1,b
HIP 78530,HD 143567,HIP 78530,1,b
HD 145457,HD 145457,HIP 79219,1,b
HD 142022 A,HD 142022 A,HIP 79242,1,b
14 Her,HD 145675,HIP 79248,1,b
HD 145377,HD 145377,HIP 79346,1,b
HIP 79431,,HIP 79431,1,b
HD 10647,HD 10647,HIP 7978,1,b
HAT-P-2,HD 147506,HIP 80076,1,b
HD 564,HD 564,HIP 801,1,b
HD 147018,HD 147018,HIP 80250,2,b
HD 147018,HD 147018,HIP 80250,2,c
HD 147513,HD 147513,HIP 80337,1,b
HD 148156,HD 148156,HIP 80680,1,b
HD 148427,HD 148427,HIP 80687,1,b
Wolf 1061,,HIP 80824,3,d
Wolf 1061,,HIP 80824,3,b
Wolf 1061,,HIP 80824,3,c
HD 149026,HD 149026,HIP 80838,1,b
HD 150706,HD 150706,HIP 80902,1,b
HD 149143,HD 149143,HIP 81022,1,b
HD 10697,HD 10697,HIP 8159,1,b
HD 152079,HD 152079,HIP 82632,1,b
HD 152581,HD 152581,HIP 82651,1,b
GJ 649,,HIP 83043,1,b
HD 154345,HD 154345,HIP 83389,1,b
HD 153950,HD 153950,HIP 83547,1,b
HD 155358,HD 155358,HIP 83949,2,b
HD 155358,HD 155358,HIP 83949,2,c
HD 154672,HD 154672,HIP 83983,1,b
HD 155233,HD 155233,HIP 84056,1,b
HD 154857,HD 154857,HIP 84069,2,b
HD 154857,HD 154857,HIP 84069,2,c
HD 156279,HD 156279,HIP 84171,1,b
GJ 3998,,HIP 84460,2,b
GJ 3998,,HIP 84460,2,c
HD 156668,HD 156668,HIP 84607,1,b
HD 156411,HD 156411,HIP 84787,1,b
HD 156846,HD 156846,HIP 84856,1,b
HD 158038,HD 158038,HIP 85294,1,b
HIP 8541,HD 11343,HIP 8541,1,b
GJ 674,,HIP 85523,1,b
GJ 676 A,,HIP 85647,3,d
GJ 676 A,,HIP 85647,3,b
GJ 676 A,,HIP 85647,3,e
HD 159243,HD 159243,HIP 85911,2,c
HD 159243,HD 159243,HIP 85911,2,b
GJ 687,,HIP 86162,1,b
HD 159868,HD 159868,HIP 86375,2,b
HD 159868,HD 159868,HIP 86375,2,c
psi Dra B,HD 162004,HIP 86620,1,b
HD 160691,HD 160691,HIP 86796,4,b
HD 160691,HD 160691,HIP 86796,4,d
HD 160691,HD 160691,HIP 86796,4,e
HD 160691,HD 160691,HIP 86796,4,c
HD 162020,HD 162020,HIP 87330,1,b
HD 163607,HD 163607,HIP 87601,2,c
HD 163607,HD 163607,HIP 87601,2,b
HD 11506,HD 11506,HIP 8770,2,c
HD 11506,HD 11506,HIP 8770,2,b
nu Oph,HD 163917,HIP 88048,2,c
nu Oph,HD 163917,HIP 88048,2,b
HD 164595,HD 164595,HIP 88194,1,b
HD 164509,HD 164509,HIP 88268,1,b
HD 164922,HD 164922,HIP 88348,1,b
HD 164604,HD 164604,HIP 88414,1,b
HD 167042,HD 167042,HIP 89047,1,b
HD 11977,HD 11977,HIP 8928,1,b
HD 166724,HD 166724,HIP 89354,1,b
HD 168443,HD 168443,HIP 89844,2,c
HD 168443,HD 168443,HIP 89844,2,b
HD 168746,HD 168746,HIP 90004,1,b
42 Dra,HD 170693,HIP 90344,1,b
HD 169830,HD 169830,HIP 90485,2,b
HD 169830,HD 169830,HIP 90485,2,c
HD 170469,HD 170469,HIP 90593,1,b
HD 11964,HD 11964,HIP 9094,2,c
HD 11964,HD 11964,HIP 9094,2,b
BD-11 4672,,HIP 90979,1,b
HD 171238,HD 171238,HIP 91085,1,b
HIP 91258,,HIP 91258,1,b
HD 173416,HD 173416,HIP 91852,1,b
HD 11755,HD 11755,HIP 9242,1,b
HD 175541,HD 175541,HIP 92895,1,b
HD 175167,HD 175167,HIP 93281,1,b
HD 175607,HD 175607,HIP 93373,1,b
HD 177830,HD 177830 A,HIP 93746,2,c
HD 177830,HD 177830 A,HIP 93746,2,b
HD 178911 B,HD 178911 B,HIP 94075,1,b
Kepler-21,HD 179070,HIP 94112,1,b
HD 179079,HD 179079,HIP 94256,1,b
HD 180314,HD 180314,HIP 94576,1,b
HD 179949,HD 179949,HIP 94645,1,b
Kepler-444,,HIP 94931,5,d
Kepler-444,,HIP 94931,5,b
Kepler-444,,HIP 94931,5,c
Kepler-444,,HIP 94931,5,f
